Date,Description,Amount
10-18-2021,APPLE.COM/BILL 866-712-7753 ON,-11.85
10-18-2021,FACEBK KDRNA6XD82 650-5434800 CA,-552.91
10-20-2021,APPLE.COM/BILL 866-712-7753 ON,-93.2
10-20-2021,APPLE.COM/BILL TORONTO ON,-7.9
10-22-2021,Amazon Downloads www.Amazon.ca ON,-12.42
10-22-2021,PAYPAL *HOSTGATOR 402-935-7733 TX,-14.11
10-25-2021,APPLE.COM/BILL 866-712-7753 ON,-101.69
10-25-2021,ASTLEY-GILBERT LTD NORTH YORK ON,-10214.24
10-25-2021,PC PAYMENT FROM *****00* 5017,10000
10-27-2021,Amazon Downloads www.Amazon.ca ON,-16.94
10-28-2021,Amazon Downloads www.Amazon.ca ON,-19.2
11-01-2021,Amazon.ca*O77XJ2AB3 AMAZON.CA ON,-25.99
11-01-2021,DROPBOX*QXYSXSPK59WX DROPBOX.COM CA,-18.07
11-01-2021,FACEBK 6H39P87CF2 650-5434800 CA,-970.03
11-01-2021,FACEBK GYLO69B7L2 650-5434800 CA,-343.72
11-01-2021,GOOGLE*ADS2840982341 SUPPORT.GOOGL CA,-750
11-01-2021,MailChimp 000-0000000 GA,-111.88
11-02-2021,GOOGLE *GSUITE_maleeha 855-222-8603 ON,-26.44
11-04-2021,APPLE.COM/BILL 866-712-7753 ON,-23.7
11-08-2021,ADOBE STOCK SAN JOSE CA,-44.06
11-08-2021,Amazon Downloads www.Amazon.ca ON,-19.2
11-08-2021,TRESTA 8504222527 FL AMT 19.29 UNIT ED STATES DOL LAR,-24.08
11-09-2021,Amazon.ca*0V6Z92P73 AMAZON.CA ON,-96.03
11-09-2021,AMZN Mktp CA*7U9810BP3 WWW.AMAZON.CA ON,-26.52
11-09-2021,APPLE.COM/BILL 866-712-7753 ON,-38.36
11-09-2021,GOOGLE*ADS1093456354 SUPPORT.GOOGL CA,-529.56
11-12-2021,128.82 UNIT ED STATES DOL LAR PC PAYMENT FROM *****00* 5017,6000
11-15-2021,ADOBE CREATIVE CLOUD SAN JOSE CA,-79.09
11-15-2021,APPLE.COM/BILL 866-712-7753 ON,-11.85
11-15-2021,APPLE.COM/BILL 866-712-7753 ON,-11.85
